"C-mod name","Biomolecular Type","Condensates","Phenotypic Class","PMID"
"JAK3 inhibitor IV","small molecule","DEE660B4","morpher","23415227"
"JC19","small molecule","DEE660B4","inducer","38014036"
"JQ1","small molecule","38EC0B30","dissolver","32554597"
"KB2","fragment","DEE660B4","inducer","38014036"
"KB20","fragment","DEE660B4","inducer","38014036"
"KB23","fragment","DEE660B4","inducer","38014036"
"KB5","fragment","DEE660B4","inducer","38014036"
"KB7","fragment","DEE660B4","inducer","38014036"
"Lactimidomycin","small molecule","DEE660B4","dissolver","38105199"
"Lapatinib","small molecule","DEE660B4","inducer","32365111"
"L-cysteine Au nanospheres","other","DEE660B4","inducer","39862843"
"LFM-A13","small molecule","DEE660B4","dissolver","35798143"
"Licochalcone B","small molecule","DEE660B4","dissolver|morpher","40930288"
"Lobeline","small molecule","DEE660B4","inducer","41053069"
"Lopinavir","small molecule","BE404912","inducer","38433354"
"Lorecivivint","small molecule","804901D1","inducer","31132406"
"L-penicillamine Au nanospheres","other","DEE660B4","inducer","39862843"
"Lurbinectedin","small molecule","91857CE7","localizer","27697767| 35657345"
"LY3023414","small molecule","1A18FFC4","dissolver","36099417"
"MG132","small molecule","DEE660B4","inducer","27570075"
"MI-2","small molecule","DEE660B4","localizer","36606141"
"MI-3","small molecule","DEE660B4","localizer","36606141"
"Mitoxantrone","small molecule","DEE660B4","dissolver","31272829| 40284406"
"MK.2206","small molecule","DEE660B4","unknown","35433677"
"Morusin","natural product","DEE660B4","inducer","32731602"
"MS023","small molecule","81D2A7B6| DEE660B4","inducer","39052476| 34029587"
"Myricetin","natural product","DEE660B4","dissolver","34560101"
"NAL","small molecule","DEE660B4","dissolver","40306108"
"NB001","small molecule","DEE660B4","inducer","38014036"
"NMS-873","small molecule","DEE660B4","inducer","33687997"
"Nobiletin","natural product","DEE660B4","dissolver","35631419"
"Nocodazole","small molecule","886620B0","dissolver","28680096"
"NU7441 + CLM","other","DEE660B4","localizer","33857636"
"Nusinersen","oligonucleotide","6F24707C","inducer","32612161"
"Olaparib","small molecule","A0DCDA94","inducer","36849518| 29992957"
"Oligomycin A","small molecule","550E224B","inducer","35975718"
"Oxaliplatin","small molecule","91857CE7","localizer","31670961| 36351392"
